"Freshwater.type" "Diversity.decay.parameter" "Dispersal" "Descriptors" "Estimate" "Std..Error" "z.value" "Pr...z.."
"Permanent" "Proportional decay rate (b)" "10 km" "s(Betw_CV)" 0.801906468573741 4 3.98713534024555 0.0224648892976821
"Permanent" "Proportional decay rate (b)" "10 km" "s(OutDeg_CV)" 7.92004909065708e-06 2 3.76493177001702e-06 0.492052979486054
"Permanent" "Proportional decay rate (b)" "10 km" "s(WatCov_Mean)" 0.977313743273717 2 4.48728067582691 0.019000061757201
"Permanent" "Proportional decay rate (b)" "10 km" "s(WatCov_CV)" 0.885469560130348 2 7.50596785558987 0.00289248898489614
"Permanent" "Collapsing rate (q)" "10 km" "(Intercept)" -0.648112499295495 0.00242127809324132 -267.673713773158 0
"Permanent" "Collapsing rate (q)" "10 km" "s(Long)" 0.000248183658398207 2 0.000140293316962824 0.46390245830281
"Permanent" "Collapsing rate (q)" "10 km" "s(Betw_CV)" 0.729549364108579 4 2.69641744135153 0.0507244523379684
"Permanent" "Collapsing rate (q)" "10 km" "s(OutDeg_CV)" 1.32899098427652 2 4.74259788359553 0.0272399494148403
"Permanent" "Collapsing rate (q)" "10 km" "s(WatCov_Mean)" 2.1504310712021e-05 2 3.76262720986987e-06 0.824932028621965
"Permanent" "Collapsing rate (q)" "10 km" "s(WatCov_CV)" 0.946732035634562 2 17.764581513527 3.74311341921896e-07
"Temporary" "Proportional decay rate (b)" "0.001 km" "(Intercept)" -0.182044382557593 0.0682245456824982 -2.66831212632456 0.00762334004146408
"Temporary" "Proportional decay rate (b)" "0.001 km" "s(Long)" 0.665885347143336 2 1.9787225388931 0.0846823093678102
"Temporary" "Proportional decay rate (b)" "0.001 km" "s(Lat)" 8.08322849862304e-06 2 2.60960801134861e-06 0.673207945014866
"Temporary" "Proportional decay rate (b)" "0.001 km" "s(Betw_CV)" 9.13590923928975e-06 4 3.49328242898349e-06 0.690302286818828
"Temporary" "Proportional decay rate (b)" "0.001 km" "s(OutDeg_Med)" 1.04348050688185 2 7.34190677677518 0.00449312783846301
"Temporary" "Proportional decay rate (b)" "0.001 km" "s(WatCov_Mean)" 8.25993430635375e-06 2 2.9392664136299e-06 0.64958801683911
"Temporary" "Collapsing rate (q)" "0.001 km" "(Intercept)" -0.724580994498539 0.00463869103148762 -156.203762996943 0
"Temporary" "Collapsing rate (q)" "0.001 km" "s(Long)" 1.31729100106915 2 3.95241226089401 0.0451349663176783
"Temporary" "Collapsing rate (q)" "0.001 km" "s(Lat)" 7.81198502243482e-06 2 5.0459261777125e-06 0.451892957700219
